HDays,ADays,HASLxM,HASTLxM,HACLxM,HAFLxM,HAYCLxM,HARCLxM,HAGSLxM,HAGCLxM,HAGSLxHM,HAGCLxHM,HGDLxM,HGDLxHM,HAPLxM,HAPLxHM,HWPLxM,HWPLxHM,HWinStreak,AASLxM,AASTLxM,AACLxM,AAFLxM,AAYCLxM,AARCLxM,AAGSLxM,AAGCLxM,AAGSLxAM,AAGCLxAM,AGDLxM,AGDLxAM,AAPLxM,AAPLxAM,AWPLxM,AWPLxAM,AWinStreak,HDef,HMid,HAtt,HOvr,ADef,AMid,AAtt,AOvr,B365H,B365D,B365A,Venue,Result
5,4,13.6,4.0,5.2,12.8,2.1,0.0,1.5,1.3,1.5,1.3,2.0,2.0,1.6,1.6,40.0,0.4,0.0,11.0,3.6,4.0,11.0,1.1,0.1,0.9,1.3,1.1,1.9,-4.0,-8.0,0.9,0.8,20.0,20.0,0.0,75,76,81,77.33,75,75,76,75.33,2.04,3.39,4.2,Selhurst Park,D
7,7,13.1,4.3,4.4,11.2,1.6,0.1,1.7,1.2,0.9,1.6,5.0,-7.0,1.9,1.4,60.0,0.4,1.0,9.6,2.9,2.6,10.2,1.7,0.0,1.2,1.2,0.9,1.4,0.0,-5.0,1.6,1.0,50.0,20.0,1.0,78,78,78,78.0,75,76,81,77.33,2.25,3.3,3.6,London Stadium,D
7,5,10.8,3.0,5.6,11.7,1.9,0.1,0.8,1.4,0.8,0.9,-6.0,-1.0,0.8,1.3,20.0,0.4,0.0,12.3,3.7,4.2,8.8,1.7,0.2,0.9,1.7,1.0,2.2,-8.0,-12.0,1.2,0.6,30.0,10.0,1.0,74,76,81,77.0,77,77,79,77.67,2.38,3.25,3.4,The Hawthorns,D
7,7,8.4,4.7,4.6,11.5,2.4,0.1,0.4,1.3,1.1,0.9,-9.0,2.0,0.9,1.6,10.0,0.4,0.0,10.1,5.4,3.9,8.5,1.3,0.0,1.0,1.4,0.7,1.1,-4.0,-4.0,1.1,1.2,30.0,30.0,0.0,73,72,72,72.33,73,73,73,73.0,2.63,3.3,2.9,Carrow Road,D
10,10,9.2,5.4,3.4,11.3,1.7,0.1,0.9,1.7,1.2,1.9,-8.0,-7.0,0.7,1.0,20.0,0.3,0.0,12.3,5.7,5.4,10.1,1.9,0.1,1.2,1.9,0.9,1.4,-7.0,-5.0,0.6,0.8,10.0,20.0,0.0,76,76,80,77.33,72,75,75,74.0,2.15,3.5,3.6,Craven Cottage,D
4,5,13.6,4.5,4.9,11.3,1.7,0.0,1.2,1.7,1.3,1.2,-5.0,1.0,0.7,1.3,10.0,0.3,0.0,19.2,7.7,5.0,11.9,1.2,0.0,3.2,1.2,2.3,2.0,20.0,3.0,2.2,1.2,70.0,30.0,1.0,71,74,74,73.0,79,80,76,78.33,5.75,4.33,1.62,The Hawthorns,D
5,6,13.3,4.2,5.7,9.2,1.5,0.3,1.1,1.2,1.4,1.4,-1.0,0.0,1.1,1.6,30.0,0.5,3.0,11.0,4.1,4.4,10.9,1.2,0.1,1.4,1.8,1.1,1.8,-4.0,-7.0,1.2,1.0,30.0,30.0,1.0,78,79,81,79.33,76,76,77,76.33,1.53,4.0,6.5,Emirates Stadium,D
3,7,14.7,5.1,7.0,8.1,0.7,0.2,1.3,1.1,1.7,1.7,2.0,0.0,1.1,0.8,30.0,0.2,0.0,12.1,3.5,5.8,12.8,1.5,0.3,1.2,1.0,0.6,1.1,2.0,-5.0,1.7,1.0,50.0,30.0,1.0,77,77,82,78.67,76,76,76,76.0,2.7,3.4,2.8,Goodison Park,D
10,10,14.0,6.3,5.9,12.4,2.1,0.2,1.6,1.7,1.5,1.1,-1.0,4.0,1.7,2.2,50.0,0.7,0.0,11.4,3.3,5.4,12.2,1.7,0.0,0.6,1.5,1.2,1.2,-9.0,0.0,0.5,1.4,10.0,40.0,0.0,79,82,84,81.67,76,77,78,77.0,1.4,5.25,8.0,Old Trafford,D
10,10,11.7,3.4,4.3,13.9,2.0,0.2,1.5,1.1,1.3,0.9,4.0,4.0,1.4,1.5,40.0,0.4,0.0,13.9,6.0,4.7,11.4,1.1,0.1,1.7,1.0,2.4,0.8,7.0,16.0,1.4,1.9,40.0,60.0,1.0,75,78,76,76.33,79,79,80,79.33,3.6,3.5,2.05,Vicarage Road,D
8,6,7.4,1.9,3.7,12.1,1.7,0.0,0.8,1.8,1.3,1.5,-10.0,-2.0,1.2,1.5,40.0,0.5,2.0,8.8,2.9,3.8,11.0,2.3,0.2,1.2,1.3,1.2,1.3,-1.0,-1.0,1.1,1.0,20.0,10.0,0.0,77,75,77,76.33,79,82,85,82.0,3.6,3.6,2.0,Turf Moor,D
4,3,9.0,3.8,3.4,10.1,1.6,0.0,1.1,1.9,1.3,2.1,-8.0,-8.0,1.1,1.1,30.0,0.3,0.0,13.7,6.1,5.4,9.9,0.4,0.0,2.4,0.7,2.3,1.6,17.0,7.0,2.2,1.6,60.0,40.0,0.0,75,76,79,76.67,86,84,86,85.33,12.0,6.0,1.25,St. James Park,D
8,6,14.6,8.9,7.3,9.4,1.4,0.3,1.7,0.6,2.6,1.1,11.0,15.0,2.5,2.3,80.0,0.7,1.0,12.6,7.0,6.3,9.1,0.7,0.0,1.9,0.4,2.1,0.9,15.0,12.0,2.5,2.4,80.0,70.0,1.0,80,80,81,80.33,83,82,86,83.67,2.25,3.6,3.3,Emirates Stadium,D
5,4,17.9,6.0,7.0,11.6,1.7,0.0,2.0,1.3,1.6,1.6,7.0,0.0,1.7,1.6,50.0,0.4,1.0,11.4,4.3,4.8,10.4,1.7,0.0,1.7,1.2,1.5,2.0,5.0,-5.0,1.5,0.8,40.0,20.0,2.0,83,85,84,84.0,79,80,80,79.67,1.4,4.75,8.0,Stamford Bridge,D
7,3,10.7,3.9,5.0,11.0,1.4,0.1,1.6,1.6,1.1,1.3,0.0,-2.0,1.3,1.1,40.0,0.3,1.0,11.7,4.9,4.0,12.7,1.2,0.0,2.3,0.8,1.9,0.9,15.0,10.0,2.4,1.9,70.0,50.0,1.0,76,76,79,77.0,82,82,89,84.33,4.5,3.9,1.72,Selhurst Park,D
9,5,10.8,4.3,5.4,8.5,1.4,0.0,1.5,1.1,1.6,1.4,4.0,2.0,1.3,1.2,30.0,0.3,1.0,17.0,6.3,8.8,8.6,0.7,0.0,2.4,0.9,2.4,0.5,15.0,19.0,2.5,2.8,80.0,90.0,2.0,75,76,77,76.0,85,87,84,85.33,10.0,5.0,1.33,Selhurst Park,D
10,10,10.8,3.9,4.2,12.9,1.5,0.0,1.6,1.4,2.0,1.4,2.0,6.0,1.7,1.7,50.0,0.4,4.0,17.1,7.0,8.6,9.9,1.2,0.0,2.6,1.9,1.4,1.8,7.0,-4.0,2.2,1.6,70.0,50.0,0.0,79,78,80,79.0,86,84,89,86.33,3.75,4.2,1.83,Goodison Park,D
10,10,13.3,5.2,5.5,11.5,2.0,0.1,1.6,1.7,1.4,0.8,-1.0,6.0,1.5,1.9,40.0,0.5,0.0,15.3,5.9,7.6,7.9,0.6,0.0,1.9,0.7,1.8,0.7,12.0,11.0,2.7,2.5,90.0,80.0,1.0,79,78,80,79.0,85,83,87,85.0,6.0,4.2,1.55,Goodison Park,D
3,3,10.5,3.5,5.1,10.4,2.3,0.1,0.8,1.1,1.2,0.9,-3.0,3.0,1.3,1.8,30.0,0.5,2.0,10.8,3.6,5.6,11.5,2.1,0.0,1.0,2.2,0.8,2.1,-12.0,-13.0,0.8,0.5,20.0,10.0,0.0,77,78,75,76.67,75,75,77,75.67,2.3,3.3,3.2,St. James Park,D
7,7,11.5,4.7,4.8,8.6,1.4,0.0,1.3,1.7,1.6,1.4,-4.0,2.0,1.1,1.4,30.0,0.4,1.0,13.9,4.2,4.8,10.4,1.8,0.0,1.4,1.1,0.7,1.3,3.0,-6.0,1.6,1.0,50.0,20.0,1.0,75,76,78,76.33,76,76,76,76.0,2.05,3.6,3.8,Dean Court,D
7,8,14.4,4.5,5.8,9.7,1.4,0.2,1.8,1.4,1.5,1.3,4.0,2.0,1.8,1.5,50.0,0.4,0.0,8.7,3.0,3.9,9.2,2.1,0.1,1.0,1.1,0.8,0.9,-1.0,-1.0,1.6,1.7,50.0,50.0,1.0,75,74,76,75.0,73,75,76,74.67,2.05,3.5,4.0,Boleyn Ground,D
6,7,18.2,8.1,7.9,8.7,1.4,0.0,1.3,0.6,1.5,0.7,7.0,8.0,2.3,2.3,70.0,0.7,2.0,17.5,7.3,6.0,9.0,1.5,0.1,1.5,0.6,1.3,1.3,9.0,0.0,2.3,1.2,70.0,30.0,1.0,79,78,82,79.67,81,80,82,81.0,2.7,3.3,2.88,White Hart Lane,D
6,6,14.3,6.3,4.7,9.1,1.2,0.0,1.6,1.1,1.6,1.0,5.0,6.0,1.9,1.7,60.0,0.5,0.0,14.1,3.8,5.7,11.3,1.9,0.0,1.3,1.5,1.3,1.9,-2.0,-6.0,1.3,0.9,40.0,20.0,3.0,82,79,84,81.67,76,77,81,78.0,1.73,4.0,5.0,Goodison Park,D
7,4,13.7,3.9,5.4,10.1,1.5,0.2,1.2,1.4,1.5,0.7,-2.0,8.0,1.4,2.0,40.0,0.6,0.0,13.0,4.1,6.4,11.7,1.6,0.0,1.2,1.0,1.5,1.6,2.0,-1.0,1.5,1.2,40.0,30.0,0.0,75,74,79,76.0,72,74,76,74.0,2.25,3.5,3.4,Swansea.com Stadium,D
7,10,13.9,9.4,6.4,8.8,0.9,0.1,2.3,1.4,3.0,1.6,9.0,14.0,1.7,1.9,50.0,0.6,1.0,18.6,10.5,7.9,9.8,1.5,0.0,2.3,1.2,1.8,1.5,11.0,3.0,1.8,1.3,60.0,30.0,1.0,80,80,81,80.33,79,80,79,79.33,2.4,3.5,3.1,Emirates Stadium,D
4,4,18.3,4.4,6.9,9.7,1.1,0.0,1.2,1.9,1.3,1.5,-7.0,-2.0,1.1,1.3,30.0,0.3,0.0,10.1,3.5,4.2,9.2,1.4,0.0,1.2,2.1,1.1,2.8,-9.0,-17.0,0.7,0.6,20.0,20.0,0.0,79,79,79,79.0,74,75,78,75.67,1.44,4.75,8.5,Anfield,D
7,7,11.3,4.1,4.0,8.9,1.4,0.1,1.5,1.1,1.1,1.0,4.0,1.0,1.6,1.6,50.0,0.5,3.0,12.6,5.0,4.0,10.2,1.8,0.0,2.8,0.9,2.0,1.1,19.0,9.0,2.1,1.9,70.0,60.0,0.0,74,75,74,74.33,79,80,83,80.67,4.33,3.5,1.85,Brentford Community Stadium,D
7,3,12.9,3.5,4.8,9.3,1.0,0.0,0.9,2.0,1.2,1.3,-11.0,-1.0,0.7,1.1,20.0,0.3,0.0,17.3,5.9,7.0,12.1,2.3,0.1,2.0,1.0,2.2,1.2,10.0,10.0,2.0,2.0,60.0,60.0,1.0,72,73,72,72.33,81,83,84,82.67,7.0,4.75,1.5,Loftus Road,D
10,10,11.5,3.3,5.6,10.9,1.5,0.2,0.9,1.5,1.0,1.4,-6.0,-4.0,0.8,0.8,20.0,0.2,0.0,11.5,4.1,4.0,13.1,1.8,0.1,0.8,1.2,0.5,1.4,-4.0,-9.0,1.1,0.6,30.0,10.0,0.0,67,68,70,68.33,71,71,72,71.33,2.2,3.3,3.75,King Power Stadium,D
6,7,12.5,4.7,6.2,13.1,1.6,0.1,1.2,1.2,1.5,0.8,0.0,7.0,1.4,1.7,40.0,0.5,0.0,12.8,5.7,5.2,12.0,2.0,0.0,1.8,0.8,1.1,0.5,10.0,6.0,2.2,1.8,60.0,40.0,5.0,75,76,77,76.0,82,82,83,82.33,4.0,4.2,1.75,Elland Road,D
3,3,9.5,4.1,5.5,10.5,1.6,0.2,1.9,0.9,1.9,1.2,10.0,7.0,2.0,1.7,60.0,0.5,3.0,14.2,4.0,5.1,13.1,1.5,0.1,1.5,0.8,1.5,1.1,7.0,4.0,1.3,1.4,30.0,40.0,1.0,78,82,84,81.33,79,79,80,79.33,2.3,3.5,3.0,Emirates Stadium,D
10,10,8.2,2.5,4.1,11.8,1.8,0.2,0.4,0.8,0.7,0.9,-4.0,-2.0,1.0,0.9,30.0,0.2,0.0,13.6,3.8,5.5,10.0,1.2,0.0,0.8,1.0,0.6,1.3,-2.0,-7.0,1.3,0.8,40.0,20.0,0.0,72,71,71,71.33,73,73,73,73.0,2.45,3.1,3.4,Turf Moor,D
7,7,11.9,4.4,3.4,9.2,1.2,0.1,1.5,1.4,1.7,1.7,1.0,0.0,1.5,1.4,40.0,0.4,2.0,10.4,3.3,4.3,12.9,2.0,0.1,0.7,1.4,0.7,2.2,-7.0,-15.0,0.8,0.4,20.0,10.0,0.0,73,75,74,74.0,77,79,77,77.67,2.25,3.6,3.3,Dean Court,D
10,7,13.5,4.8,4.4,11.1,1.9,0.2,1.4,1.2,1.1,1.4,2.0,-3.0,1.5,1.1,40.0,0.3,0.0,10.9,3.8,6.4,11.8,1.6,0.0,0.7,1.1,0.5,1.4,-4.0,-9.0,1.1,0.7,30.0,20.0,0.0,74,73,75,74.0,67,68,70,68.33,2.15,3.3,3.9,Stadium of Light,D
4,4,12.6,5.4,5.2,11.1,2.0,0.0,1.2,1.3,1.4,1.7,-1.0,-3.0,1.1,0.9,30.0,0.2,0.0,11.9,3.5,5.5,9.7,1.7,0.1,1.0,1.4,0.9,1.4,-4.0,-5.0,1.3,0.9,40.0,20.0,0.0,79,78,79,78.67,76,75,77,76.0,2.05,3.5,3.6,Villa Park,D
4,3,11.8,3.1,6.4,11.8,1.5,0.0,0.8,1.1,1.1,1.3,-3.0,-2.0,1.3,1.1,30.0,0.3,1.0,11.3,4.4,5.3,12.1,2.0,0.1,1.5,1.9,1.2,1.5,-4.0,-3.0,1.1,1.1,30.0,30.0,0.0,71,72,71,71.33,76,75,78,76.33,2.38,3.3,3.3,Selhurst Park,D
4,4,12.2,3.6,4.8,10.9,1.8,0.0,1.2,1.6,1.2,0.8,-4.0,4.0,1.1,1.4,30.0,0.4,2.0,12.0,3.3,3.9,9.2,1.7,0.0,1.4,2.1,0.5,2.5,-7.0,-20.0,1.2,0.1,40.0,0.0,0.0,76,77,78,77.0,73,73,73,73.0,1.66,4.0,5.75,Selhurst Park,D
3,3,13.0,4.9,4.5,11.2,1.3,0.0,2.0,1.0,2.3,1.4,10.0,9.0,2.3,2.3,70.0,0.7,0.0,14.5,5.6,6.6,10.3,1.6,0.0,1.8,1.3,1.3,1.0,5.0,3.0,1.7,1.7,50.0,50.0,1.0,74,74,75,74.33,81,84,84,83.0,4.33,4.0,1.85,King Power Stadium,D
3,7,15.1,5.0,5.9,8.8,1.7,0.0,1.9,1.3,2.2,1.3,6.0,9.0,1.7,1.9,50.0,0.6,0.0,13.4,4.8,5.4,10.1,1.5,0.0,1.3,1.3,0.7,1.2,0.0,-5.0,1.7,1.5,50.0,40.0,1.0,83,84,85,84.0,80,78,79,79.0,1.45,4.33,7.5,Old Trafford,D
6,5,9.3,2.8,4.7,9.6,1.0,0.1,0.9,0.9,0.9,0.9,0.0,0.0,1.3,1.5,30.0,0.4,0.0,10.4,3.2,4.7,10.6,2.6,0.0,1.2,1.5,1.1,1.3,-3.0,-2.0,1.0,1.1,20.0,20.0,1.0,76,78,76,76.67,79,83,85,82.33,4.1,3.9,1.8,Selhurst Park,D
3,7,10.0,4.1,3.2,10.5,1.6,0.2,1.0,2.0,0.7,2.3,-10.0,-16.0,0.5,0.5,10.0,0.1,0.0,9.5,3.1,3.7,8.5,1.4,0.0,1.1,1.5,1.5,1.8,-4.0,-3.0,0.9,1.0,20.0,20.0,1.0,74,75,76,75.0,76,76,77,76.33,2.3,3.4,3.1,Villa Park,D
7,7,11.0,3.9,4.1,8.0,1.5,0.0,1.5,1.3,1.8,1.0,2.0,8.0,1.4,1.9,40.0,0.6,0.0,9.0,2.7,3.8,10.4,1.0,0.1,0.8,1.5,1.0,1.8,-7.0,-8.0,0.8,0.8,10.0,20.0,0.0,76,77,75,76.0,76,77,76,76.33,2.5,3.2,3.0,St. James Park,D
7,6,11.7,3.6,4.2,11.3,1.1,0.0,1.3,2.0,1.2,1.5,-7.0,-3.0,1.4,1.4,40.0,0.4,0.0,14.0,3.8,4.2,9.6,1.2,0.0,1.1,1.0,1.5,2.1,1.0,-6.0,1.2,0.9,20.0,20.0,0.0,76,77,75,76.0,74,74,77,75.0,2.75,3.3,2.8,Bet365 Stadium,D
7,7,15.1,5.0,6.9,10.0,1.6,0.0,1.6,1.3,1.6,1.4,3.0,2.0,1.7,1.6,50.0,0.4,0.0,10.4,3.9,3.2,9.2,1.4,0.0,1.1,1.6,0.9,2.1,-5.0,-12.0,1.3,0.9,40.0,30.0,0.0,77,83,79,79.67,77,77,77,77.0,1.44,4.5,7.5,Molineux Stadium,D
6,5,15.0,2.9,4.6,11.4,2.6,0.1,1.0,1.9,1.7,2.0,-9.0,-3.0,1.0,1.5,30.0,0.4,0.0,12.0,3.5,5.7,10.2,2.2,0.0,1.2,1.7,1.0,1.9,-5.0,-9.0,1.2,0.9,30.0,20.0,3.0,77,79,80,78.67,77,79,79,78.33,2.0,3.6,4.0,London Stadium,D
2,2,11.3,3.8,2.8,11.6,2.6,0.3,0.7,1.0,1.0,1.2,-3.0,-2.0,1.0,1.3,20.0,0.3,0.0,10.7,3.4,4.7,12.8,2.7,0.0,0.8,1.2,0.9,1.3,-4.0,-4.0,1.1,1.6,20.0,40.0,0.0,74,71,72,72.33,73,73,74,73.33,2.35,3.3,3.4,Villa Park,D
7,7,12.2,4.6,5.1,11.6,1.9,0.0,0.8,1.8,0.8,1.0,-10.0,-2.0,0.7,1.2,20.0,0.3,1.0,13.8,4.6,4.4,14.0,2.1,0.1,1.6,1.1,0.8,1.3,5.0,-5.0,1.3,1.0,30.0,20.0,0.0,71,72,73,72.0,74,75,76,75.0,2.3,3.3,3.5,Carrow Road,D
10,10,15.8,5.8,5.5,13.6,2.9,0.0,1.4,0.7,1.8,1.2,7.0,6.0,1.9,1.8,50.0,0.5,0.0,15.0,4.8,6.9,11.3,2.2,0.1,1.0,1.9,0.7,1.6,-9.0,-9.0,1.2,1.0,30.0,20.0,0.0,78,76,78,77.33,79,78,82,79.67,2.5,3.5,3.0,White Hart Lane,D
7,6,10.0,5.3,4.5,12.9,2.7,0.0,1.8,1.7,0.8,1.6,1.0,-8.0,1.4,1.0,40.0,0.3,1.0,9.9,4.7,4.2,9.1,1.6,0.1,1.1,1.0,0.6,1.3,1.0,-7.0,1.5,0.9,40.0,20.0,0.0,72,72,76,73.33,75,77,78,76.67,2.3,3.3,3.5,Villa Park,D
10,10,12.2,3.0,5.8,11.2,2.1,0.0,0.4,1.9,1.3,1.4,-15.0,-1.0,0.4,1.1,10.0,0.3,0.0,11.5,3.0,3.8,11.8,1.7,0.2,0.9,2.2,0.5,1.8,-13.0,-13.0,0.8,0.4,20.0,0.0,1.0,76,74,79,76.33,78,79,69,75.33,2.39,3.25,3.29,Selhurst Park,D
7,6,13.6,4.4,6.6,11.4,2.0,0.1,1.9,1.4,1.3,1.2,5.0,1.0,1.7,1.5,50.0,0.5,0.0,8.8,2.0,4.2,10.5,1.9,0.1,0.5,1.6,0.4,2.4,-11.0,-20.0,1.0,0.6,30.0,20.0,0.0,72,74,76,74.0,74,71,72,72.33,1.75,3.75,5.5,Boleyn Ground,D
8,8,17.7,11.0,7.6,8.8,1.4,0.0,2.3,1.0,2.4,0.9,13.0,15.0,1.8,2.0,50.0,0.6,1.0,12.2,7.4,7.4,10.8,1.9,0.1,1.2,0.8,0.9,1.1,4.0,-2.0,1.7,1.1,50.0,20.0,1.0,79,80,79,79.33,77,75,76,76.0,1.95,3.6,4.2,Anfield,D
7,4,9.3,2.7,3.9,9.0,2.0,0.2,0.7,1.9,1.0,1.4,-12.0,-4.0,0.7,1.2,20.0,0.3,0.0,14.9,4.6,7.4,12.6,2.3,0.0,1.4,1.2,1.9,1.4,2.0,5.0,1.5,1.7,40.0,50.0,1.0,76,76,78,76.67,80,85,79,81.33,4.75,3.8,1.72,Dean Court,D
10,10,10.5,3.6,4.1,9.4,1.5,0.1,1.5,1.5,1.3,1.0,0.0,3.0,1.5,1.6,40.0,0.4,0.0,12.4,4.4,5.0,12.4,1.5,0.1,1.7,0.9,1.2,1.5,8.0,-3.0,1.7,1.1,50.0,30.0,3.0,78,79,79,78.67,78,77,82,79.0,2.88,3.4,2.63,Bet365 Stadium,D
3,3,7.3,2.2,2.3,9.3,0.9,0.0,0.9,1.4,1.1,1.8,-5.0,-7.0,1.4,1.2,40.0,0.3,0.0,14.0,6.0,5.4,11.1,1.5,0.0,2.0,0.8,1.5,0.9,12.0,6.0,1.7,2.0,40.0,50.0,0.0,75,76,77,76.0,81,82,83,82.0,8.0,4.75,1.4,Selhurst Park,D
7,5,12.6,5.2,5.1,11.7,1.8,0.2,1.4,0.8,1.8,0.9,6.0,9.0,1.7,2.0,50.0,0.6,0.0,20.3,8.3,4.9,9.7,1.4,0.1,2.0,1.1,1.6,1.7,9.0,-1.0,2.1,1.7,60.0,50.0,1.0,75,75,74,74.67,80,82,83,81.67,5.0,3.8,1.67,St. James Park,D
8,7,12.5,3.1,5.3,11.5,1.4,0.2,1.3,2.1,0.8,2.1,-8.0,-13.0,0.9,0.6,20.0,0.1,0.0,8.8,3.0,3.4,11.8,1.6,0.1,1.0,1.7,0.6,1.9,-7.0,-13.0,1.2,0.7,30.0,20.0,0.0,74,74,75,74.33,73,73,72,72.67,1.7,4.0,4.75,Falmer Stadium,D
5,4,13.3,5.1,5.1,7.1,0.9,0.2,2.2,1.3,2.1,1.2,9.0,9.0,1.9,1.9,60.0,0.6,4.0,9.7,4.0,4.2,11.0,1.8,0.0,0.9,2.1,1.0,1.9,-12.0,-9.0,0.7,1.0,20.0,30.0,0.0,77,79,79,78.33,75,75,77,75.67,1.55,4.0,6.5,London Stadium,D
7,6,13.9,4.6,7.2,11.3,1.2,0.1,2.0,1.0,1.9,1.5,10.0,4.0,2.0,1.4,50.0,0.3,0.0,14.2,4.6,4.8,9.5,1.5,0.0,1.7,1.0,1.1,1.5,7.0,-4.0,2.0,1.0,60.0,20.0,3.0,78,81,82,80.33,72,77,76,75.0,1.75,3.8,5.25,Stamford Bridge,D
7,4,19.4,7.4,6.1,11.0,1.3,0.0,2.0,0.6,1.9,0.7,14.0,12.0,2.3,2.0,70.0,0.6,2.0,9.3,1.8,4.5,10.7,1.5,0.0,0.8,1.1,0.8,1.5,-3.0,-7.0,1.1,0.7,30.0,10.0,0.0,79,78,81,79.33,73,75,76,74.67,1.22,7.0,15.0,White Hart Lane,D
10,10,11.9,3.6,5.3,8.2,1.2,0.1,1.1,1.1,1.2,1.1,0.0,1.0,1.9,1.6,60.0,0.5,0.0,11.7,3.6,4.2,11.9,1.7,0.0,1.2,1.8,1.0,2.1,-6.0,-11.0,1.0,0.8,20.0,20.0,0.0,77,81,83,80.33,74,76,77,75.67,1.6,3.8,6.0,Emirates Stadium,D
3,7,17.1,5.3,5.5,10.8,1.4,0.1,1.6,0.8,2.2,0.7,8.0,15.0,2.0,2.8,60.0,0.9,0.0,11.3,3.2,5.6,11.2,1.5,0.0,1.0,1.0,0.8,1.4,0.0,-6.0,1.3,1.0,30.0,20.0,1.0,81,80,82,81.0,71,74,74,73.0,1.29,6.0,12.0,Stamford Bridge,D
10,10,20.8,7.7,4.9,9.4,1.4,0.1,2.0,1.2,2.0,0.8,8.0,12.0,1.9,2.1,50.0,0.6,0.0,15.0,5.2,5.9,11.9,1.4,0.0,2.4,0.4,1.6,0.7,20.0,9.0,2.3,1.8,70.0,50.0,3.0,80,82,83,81.67,81,83,86,83.33,2.8,3.25,2.8,Anfield,D
4,3,10.4,3.2,4.3,11.9,1.0,0.2,1.1,1.6,1.2,1.0,-5.0,2.0,0.8,1.5,20.0,0.4,0.0,12.1,4.0,3.9,11.6,1.8,0.0,1.6,1.5,1.3,1.4,1.0,-1.0,1.3,1.2,30.0,30.0,0.0,77,76,76,76.33,77,78,77,77.33,2.55,3.3,3.0,Falmer Stadium,D
3,4,8.7,2.4,2.7,11.9,1.8,0.1,1.0,1.6,1.1,1.5,-6.0,-4.0,0.7,1.1,10.0,0.3,0.0,11.8,3.2,4.9,10.2,1.4,0.1,1.2,1.3,0.5,1.3,-1.0,-8.0,1.1,1.0,30.0,30.0,0.0,71,71,72,71.33,72,74,70,72.0,2.45,3.3,3.2,Hull City Stadium,D
7,7,10.5,3.0,4.6,9.7,2.2,0.1,0.7,1.9,0.5,1.9,-12.0,-14.0,0.8,0.4,20.0,0.1,2.0,9.8,3.6,4.9,11.3,1.9,0.0,1.2,1.0,0.9,1.0,2.0,-1.0,1.9,1.4,60.0,40.0,1.0,74,74,74,74.0,77,81,78,78.67,3.5,3.3,2.15,Carrow Road,D
6,6,7.9,2.8,3.6,9.9,1.9,0.1,1.0,1.2,1.4,1.6,-2.0,-2.0,1.4,1.1,40.0,0.3,0.0,16.0,6.8,5.9,13.7,2.0,0.0,2.1,0.7,1.6,1.2,14.0,4.0,2.2,1.6,60.0,40.0,0.0,72,75,77,74.67,78,76,79,77.67,4.75,3.6,1.85,The Hawthorns,D
10,10,15.1,3.8,6.4,11.1,1.2,0.0,0.7,0.9,0.6,1.2,-2.0,-6.0,1.2,0.9,30.0,0.2,0.0,12.8,5.4,4.8,11.1,1.8,0.2,1.3,0.7,0.7,1.7,6.0,-10.0,1.7,0.5,50.0,10.0,0.0,78,78,78,78.0,75,75,74,74.67,1.91,3.6,4.5,St Mary's Stadium,D
6,10,12.2,4.4,5.6,9.5,2.4,0.1,1.5,0.9,1.4,0.6,6.0,8.0,2.3,2.2,70.0,0.6,1.0,10.2,4.6,5.0,10.5,1.0,0.0,1.3,1.2,1.0,1.1,1.0,-1.0,1.6,1.6,50.0,50.0,0.0,81,82,83,82.0,74,74,77,75.0,1.36,5.0,11.0,Stamford Bridge,D
10,10,13.2,5.2,5.5,12.2,2.3,0.0,1.4,1.2,1.6,1.0,2.0,6.0,1.7,1.8,50.0,0.5,0.0,10.2,3.7,4.0,11.7,1.3,0.0,0.9,2.1,1.3,2.2,-12.0,-9.0,0.2,0.7,0.0,20.0,0.0,82,79,84,81.67,74,77,79,76.67,1.6,4.33,6.0,Goodison Park,D
4,4,12.1,3.6,4.0,10.0,1.2,0.2,1.5,1.0,1.3,1.0,5.0,3.0,1.9,1.6,60.0,0.5,1.0,11.5,4.4,5.3,8.0,0.8,0.0,1.6,1.3,1.9,1.4,3.0,5.0,1.8,1.7,50.0,50.0,0.0,77,76,76,76.33,80,80,83,81.0,4.33,3.6,1.95,Bet365 Stadium,D
3,3,11.9,4.3,5.0,11.6,1.8,0.1,1.9,1.0,2.4,0.3,9.0,21.0,2.2,2.7,70.0,0.9,0.0,9.9,3.8,4.7,9.4,1.3,0.0,0.8,0.6,1.0,1.1,2.0,-1.0,1.9,1.5,60.0,40.0,0.0,81,83,87,83.67,76,75,74,75.0,1.25,6.5,15.0,Old Trafford,D
7,7,12.0,3.2,6.1,10.2,0.9,0.0,1.3,1.9,1.2,2.0,-6.0,-8.0,1.3,1.0,40.0,0.3,0.0,11.2,2.5,5.5,11.0,1.0,0.0,0.8,1.4,0.7,1.4,-6.0,-7.0,0.9,0.7,20.0,10.0,0.0,72,74,72,72.67,73,73,76,74.0,1.95,3.6,4.2,Dean Court,D
3,3,16.6,5.1,7.1,11.2,1.7,0.0,1.1,1.1,1.3,0.9,0.0,4.0,1.3,1.6,40.0,0.5,0.0,10.2,3.4,4.5,11.4,2.3,0.1,1.2,1.3,1.1,1.4,-1.0,-3.0,1.1,0.9,20.0,10.0,0.0,80,82,79,80.33,79,83,85,82.33,1.72,3.9,4.5,Stamford Bridge,D
